participant_id	group	gender	age
sub-001	equalIndifference	M	24
sub-002	equalRange	M	25
sub-003	equalIndifference	F	27
sub-004	equalRange	M	25
sub-005	equalIndifference	M	27
sub-006	equalRange	M	30
sub-008	equalRange	F	27
sub-009	equalIndifference	M	26
sub-010	equalRange	F	21
sub-011	equalIndifference	M	30
sub-013	equalIndifference	M	26
sub-014	equalRange	F	30
sub-015	equalIndifference	F	26
sub-016	equalRange	F	20
sub-017	equalIndifference	F	24
sub-018	equalRange	F	22
sub-019	equalIndifference	M	25
sub-020	equalRange	M	22
sub-021	equalIndifference	F	22
sub-022	equalRange	M	27
sub-024	equalRange	M	21
sub-025	equalIndifference	M	25
sub-026	equalRange	M	24
sub-027	equalIndifference	F	27
sub-029	equalIndifference	M	25
sub-030	equalRange	F	24
sub-032	equalRange	F	23
sub-033	equalIndifference	M	23
sub-035	equalIndifference	M	32
sub-036	equalRange	F	24
sub-037	equalIndifference	F	25
sub-038	equalRange	M	25
sub-039	equalIndifference	F	28
sub-040	equalRange	M	22
sub-041	equalIndifference	F	27
sub-043	equalIndifference	M	28
sub-044	equalRange	M	23
sub-045	equalIndifference	F	28
sub-046	equalRange	M	25
sub-047	equalIndifference	M	27
sub-049	equalIndifference	F	27
sub-050	equalRange	M	34
sub-051	equalIndifference	F	28
sub-052	equalRange	M	22
sub-053	equalIndifference	F	30
sub-054	equalRange	F	35
sub-055	equalIndifference	F	37
sub-056	equalRange	F	22
sub-057	equalIndifference	F	23
sub-058	equalRange	F	25
sub-059	equalIndifference	M	24
sub-060	equalRange	F	27
sub-061	equalIndifference	F	32
sub-062	equalRange	F	23
sub-063	equalIndifference	F	25
sub-064	equalRange	M	24
sub-066	equalRange	M	27
sub-067	equalIndifference	F	24
sub-068	equalRange	M	19
sub-069	equalIndifference	F	23
sub-070	equalRange	F	22
sub-071	equalIndifference	F	21
sub-072	equalRange	F	22
sub-073	equalIndifference	M	23
sub-074	equalRange	F	24
sub-075	equalIndifference	F	23
sub-076	equalRange	M	33
sub-077	equalIndifference	M	22
sub-079	equalIndifference	F	28
sub-080	equalRange	F	31
sub-081	equalIndifference	F	33
sub-082	equalRange	F	31
sub-083	equalIndifference	M	26
sub-084	equalRange	M	26
sub-085	equalIndifference	M	26
sub-087	equalIndifference	F	22
sub-088	equalRange	F	22
sub-089	equalIndifference	M	26
sub-090	equalRange	F	22
sub-092	equalRange	F	28
sub-093	equalIndifference	F	30
sub-094	equalRange	M	24
sub-095	equalIndifference	M	26
sub-096	equalRange	F	22
sub-098	equalRange	M	27
sub-099	equalIndifference	M	27
sub-100	equalRange	M	30
sub-102	equalRange	F	18
sub-103	equalIndifference	F	26
sub-104	equalRange	M	25
sub-105	equalIndifference	F	26
sub-106	equalRange	F	22
sub-107	equalIndifference	M	25
sub-108	equalRange	F	30
sub-109	equalIndifference	M	27
sub-110	equalRange	F	21
sub-112	equalRange	M	31
sub-113	equalIndifference	F	21
sub-114	equalRange	F	33
sub-115	equalIndifference	M	25
sub-116	equalRange	F	22
sub-117	equalIndifference	F	24
sub-118	equalRange	F	23
sub-119	equalIndifference	F	26
sub-120	equalRange	F	20
sub-121	equalIndifference	F	25
sub-123	equalIndifference	M	24
sub-124	equalRange	M	25
